1	1.33E+00	5.73E-01	1.46E+00	5.00E-01
2	3.62E-01	2.42E-01	1.55E-01	5.00E-01
3	2.96E-02	1.15E+00	4.27E-01	5.00E-01
4	2.42E-01	1.17E+00	1.40E+00	5.00E-01
5	1.25E+00	7.00E-01	1.01E-01	5.00E-01
6	1.16E+00	1.38E+00	8.33E-01	5.00E-01
7	4.59E-01	8.73E-02	1.39E+00	5.00E-01
8	2.76E+00	5.50E-01	1.41E+00	5.00E-01
9	2.03E+00	8.82E-01	8.13E-01	5.00E-01
10	1.97E+00	2.55E-03	1.40E-01	5.00E-01
11	3.22E+00	9.20E-01	5.99E-01	5.00E-01
12	3.99E+00	4.85E-01	1.06E+00	5.00E-01
13	4.11E-01	2.13E+00	8.82E-01	5.00E-01
14	8.97E-01	2.74E+00	2.10E-01	5.00E-01
15	1.43E+00	2.41E+00	9.94E-01	5.00E-01
16	7.44E-01	1.77E+00	1.05E-02	5.00E-01
17	2.21E+00	2.74E+00	4.18E-01	5.00E-01
18	2.67E+00	1.85E+00	5.10E-01	5.00E-01
19	1.72E+00	1.90E+00	1.89E-01	5.00E-01
20	1.98E+00	1.69E+00	1.40E+00	5.00E-01
21	2.21E+00	2.88E+00	1.41E+00	5.00E-01
22	3.20E+00	2.70E+00	2.72E-01	5.00E-01
23	4.00E+00	2.80E+00	8.70E-01	5.00E-01
24	3.13E+00	2.50E+00	1.25E+00	5.00E-01
25	3.94E+00	1.90E+00	1.35E+00	5.00E-01
26	3.66E+00	1.80E+00	3.98E-01	5.00E-01
27	4.36E+00	2.40E+00	2.65E-02	5.00E-01
28	3.02E+00	1.51E+00	1.38E+00	5.00E-01
29	1.13E+00	4.27E+00	6.83E-01	5.00E-01
30	5.48E-01	3.11E+00	1.07E+00	5.00E-01
31	4.62E-01	3.64E+00	2.28E-01	5.00E-01
32	1.45E+00	3.51E+00	1.24E+00	5.00E-01
33	2.02E+00	4.32E+00	1.14E+00	5.00E-01
34	2.86E+00	4.37E+00	5.88E-01	5.00E-01
35	2.56E+00	3.59E+00	3.88E-02	5.00E-01
36	1.56E+00	3.48E+00	2.49E-01	5.00E-01
37	4.16E+00	3.79E+00	9.37E-01	5.00E-01
38	3.00E+00	3.44E+00	9.21E-01	5.00E-01
39	3.89E+00	3.39E+00	6.26E-02	5.00E-01
40	3.40E+00	4.17E+00	1.47E+00	5.00E-01
41	3.79E+00	4.37E+00	2.13E-01	5.00E-01
42	4.88E-01	8.53E-01	2.32E+00	5.00E-01
43	1.37E+00	7.85E-01	2.80E+00	5.00E-01
44	1.10E+00	1.47E+00	1.83E+00	5.00E-01
45	2.12E+00	5.69E-01	2.17E+00	5.00E-01
46	2.87E+00	1.21E+00	2.32E+00	5.00E-01
47	3.76E+00	1.08E+00	1.90E+00	5.00E-01
48	3.18E+00	2.64E-01	2.32E+00	5.00E-01
49	4.16E+00	1.90E-01	2.11E+00	5.00E-01
50	4.07E+00	1.11E+00	2.85E+00	5.00E-01
51	1.54E-01	1.79E+00	2.21E+00	5.00E-01
52	7.87E-01	2.42E+00	1.76E+00	5.00E-01
53	3.68E-01	2.73E+00	2.62E+00	5.00E-01
54	1.02E+00	1.97E+00	2.69E+00	5.00E-01
55	2.61E+00	2.15E+00	2.03E+00	5.00E-01
56	2.58E+00	2.69E+00	2.87E+00	5.00E-01
57	1.69E+00	2.52E+00	2.18E+00	5.00E-01
58	1.92E+00	1.52E+00	2.39E+00	5.00E-01
59	3.97E+00	2.82E+00	1.88E+00	5.00E-01
60	3.56E+00	1.99E+00	2.27E+00	5.00E-01
61	3.57E+00	2.84E+00	2.79E+00	5.00E-01
62	1.06E+00	3.30E+00	2.16E+00	5.00E-01
63	1.74E-01	3.63E+00	1.84E+00	5.00E-01
64	7.12E-02	3.63E+00	2.94E+00	5.00E-01
65	6.60E-01	4.26E+00	2.44E+00	5.00E-01
66	2.54E+00	3.99E+00	1.93E+00	5.00E-01
67	1.99E+00	3.41E+00	2.53E+00	5.00E-01
68	2.92E+00	3.63E+00	2.95E+00	5.00E-01
69	1.55E+00	4.15E+00	2.00E+00	5.00E-01
70	2.96E+00	3.09E+00	2.04E+00	5.00E-01
71	2.19E+00	4.30E+00	2.93E+00	5.00E-01
72	3.68E+00	3.72E+00	2.31E+00	5.00E-01
73	5.93E-01	1.25E+00	3.23E+00	5.00E-01
74	5.89E-01	2.59E-01	3.36E+00	5.00E-01
75	1.42E+00	1.38E+00	3.77E+00	5.00E-01
76	2.70E+00	2.88E-01	3.91E+00	5.00E-01
77	2.28E+00	1.18E+00	3.26E+00	5.00E-01
78	1.74E+00	4.37E-01	3.66E+00	5.00E-01
79	2.26E+00	1.12E+00	4.26E+00	5.00E-01
80	3.23E+00	1.26E+00	4.05E+00	5.00E-01
81	3.94E+00	6.00E-01	3.83E+00	5.00E-01
82	3.19E+00	7.65E-01	3.18E+00	5.00E-01
83	3.82E+00	2.50E-03	3.04E+00	5.00E-01
84	1.30E+00	2.90E+00	3.05E+00	5.00E-01
85	6.08E-01	2.32E+00	3.56E+00	5.00E-01
86	2.55E+00	2.13E+00	3.94E+00	5.00E-01
87	1.67E+00	2.73E+00	3.96E+00	5.00E-01
88	1.86E+00	2.08E+00	3.22E+00	5.00E-01
89	3.55E+00	2.19E+00	3.87E+00	5.00E-01
90	4.15E+00	2.08E+00	3.08E+00	5.00E-01
91	4.16E+00	2.94E+00	3.59E+00	5.00E-01
92	4.30E+00	1.53E+00	3.90E+00	5.00E-01
93	3.03E+00	1.82E+00	3.10E+00	5.00E-01
94	6.76E-01	3.35E+00	3.68E+00	5.00E-01
95	1.29E+00	3.90E+00	3.12E+00	5.00E-01
96	1.11E+00	4.16E+00	4.06E+00	5.00E-01
97	2.12E+00	3.51E+00	3.53E+00	5.00E-01
98	2.98E+00	3.01E+00	3.73E+00	5.00E-01
99	4.35E+00	4.04E+00	3.84E+00	5.00E-01
100	3.36E+00	3.93E+00	3.80E+00	5.00E-01
